artist_id,dominant_genre,avg_popularity,playlist_reach,avg_danceability,avg_energy,avg_valence,creative_format,hook_type,cta_type,visual_style,placement,engagement_score,relevance_grade
Trevor Daniel,latin,97.0,5,0.7840000000000001,0.43,0.236,video,mood_based,add_to_playlist,retro_grain,tiktok,2.0308394791230704,4
Trevor Daniel,latin,97.0,5,0.7840000000000001,0.43,0.236,static_image,artist_story,follow_artist,retro_grain,instagram_feed,0.6545302325918889,0
Trevor Daniel,latin,97.0,5,0.7840000000000001,0.43,0.236,story_ad,lyric_snippet,try_free,minimal_clean,tiktok,1.834129088688273,3
Trevor Daniel,latin,97.0,5,0.7840000000000001,0.43,0.236,static_image,artist_story,try_free,dark_moody,display_banner,1.4884063709430269,2
Trevor Daniel,latin,97.0,5,0.7840000000000001,0.43,0.236,carousel,artist_story,add_to_playlist,minimal_clean,instagram_story,0.7681138139025473,1
Trevor Daniel,latin,97.0,5,0.7840000000000001,0.43,0.236,carousel,artist_story,follow_artist,dark_moody,instagram_feed,1.6456585431356148,2
Trevor Daniel,latin,97.0,5,0.7840000000000001,0.43,0.236,video,mood_based,follow_artist,dark_moody,tiktok,2.2487792040134207,4
Trevor Daniel,latin,97.0,5,0.7840000000000001,0.43,0.236,story_ad,genre_tag,listen_now,minimal_clean,youtube_preroll,0.7517183917025428,0
Y2K,latin,91.0,5,0.843,0.391,0.496,static_image,mood_based,try_free,dark_moody,display_banner,1.472761733069039,1
Y2K,latin,91.0,5,0.843,0.391,0.496,carousel,genre_tag,add_to_playlist,dark_moody,tiktok,0.5495524800266017,0
Y2K,latin,91.0,5,0.843,0.391,0.496,story_ad,genre_tag,add_to_playlist,minimal_clean,tiktok,1.2838399022802969,0
Y2K,latin,91.0,5,0.843,0.391,0.496,story_ad,mood_based,add_to_playlist,dark_moody,youtube_preroll,1.781839133499007,2
Y2K,latin,91.0,5,0.843,0.391,0.496,story_ad,lyric_snippet,add_to_playlist,retro_grain,tiktok,1.6067498289638353,2
Y2K,latin,91.0,5,0.843,0.391,0.496,video,mood_based,listen_now,dark_moody,instagram_story,2.0280296752181948,3
Y2K,latin,91.0,5,0.843,0.391,0.496,video,mood_based,follow_artist,vibrant_colorful,instagram_story,2.036169451353547,4
Y2K,latin,91.0,5,0.843,0.391,0.496,story_ad,lyric_snippet,try_free,minimal_clean,instagram_story,2.6060414203917075,4
Don Toliver,rap,90.71428571428572,5,0.6694285714285714,0.639,0.3961428571428571,carousel,mood_based,add_to_playlist,dark_moody,instagram_feed,1.413738183092544,2
Don Toliver,rap,90.71428571428572,5,0.6694285714285714,0.639,0.3961428571428571,story_ad,artist_story,try_free,vibrant_colorful,instagram_story,2.055435805612978,4
Don Toliver,rap,90.71428571428572,5,0.6694285714285714,0.639,0.3961428571428571,carousel,trending_challenge,listen_now,minimal_clean,instagram_story,1.2653908493087664,1
Don Toliver,rap,90.71428571428572,5,0.6694285714285714,0.639,0.3961428571428571,carousel,lyric_snippet,listen_now,minimal_clean,instagram_story,0.9214920602915162,0
Don Toliver,rap,90.71428571428572,5,0.6694285714285714,0.639,0.3961428571428571,carousel,lyric_snippet,listen_now,dark_moody,display_banner,1.5254440239514524,2
Don Toliver,rap,90.71428571428572,5,0.6694285714285714,0.639,0.3961428571428571,carousel,artist_story,try_free,retro_grain,instagram_feed,1.1734800426847563,0
Don Toliver,rap,90.71428571428572,5,0.6694285714285714,0.639,0.3961428571428571,story_ad,trending_challenge,listen_now,dark_moody,tiktok,1.9193812970994846,3
Don Toliver,rap,90.71428571428572,5,0.6694285714285714,0.639,0.3961428571428571,video,mood_based,add_to_playlist,dark_moody,tiktok,2.113114378648114,4
Roddy Ricch,rap,88.21052631578948,11,0.8576842105263157,0.5643157894736842,0.5199473684210526,story_ad,genre_tag,follow_artist,minimal_clean,display_banner,1.0753480950419265,0
Roddy Ricch,rap,88.21052631578948,11,0.8576842105263157,0.5643157894736842,0.5199473684210526,static_image,lyric_snippet,add_to_playlist,minimal_clean,display_banner,1.3995207577641806,1
Roddy Ricch,rap,88.21052631578948,11,0.8576842105263157,0.5643157894736842,0.5199473684210526,video,trending_challenge,add_to_playlist,dark_moody,instagram_story,1.7632017764216767,3
Roddy Ricch,rap,88.21052631578948,11,0.8576842105263157,0.5643157894736842,0.5199473684210526,video,artist_story,follow_artist,retro_grain,display_banner,1.9597393795291627,4
Roddy Ricch,rap,88.21052631578948,11,0.8576842105263157,0.5643157894736842,0.5199473684210526,video,lyric_snippet,follow_artist,dark_moody,tiktok,1.897391787411725,4
Roddy Ricch,rap,88.21052631578948,11,0.8576842105263157,0.5643157894736842,0.5199473684210526,story_ad,mood_based,add_to_playlist,vibrant_colorful,display_banner,1.722741049039851,2
Roddy Ricch,rap,88.21052631578948,11,0.8576842105263157,0.5643157894736842,0.5199473684210526,story_ad,mood_based,try_free,vibrant_colorful,instagram_story,1.0297243922465724,0
Roddy Ricch,rap,88.21052631578948,11,0.8576842105263157,0.5643157894736842,0.5199473684210526,video,genre_tag,try_free,minimal_clean,instagram_story,1.4363175259800858,2
